confidence,comments,style,texts,p_id,feedback,consent
1: Not Confident. You were unsure or found the text ambiguous,,3,"It is those who cnt swim that are quick to tell u how u r gna drown.i cn make a better person out of myslf i dnt need ur negative input our frndshp myt aswel end here.im mvng on wt positive mindd people. iRepeat# Never have anything in your life that you cant get rid of in ten seconds flat, in the event that it threatens your current state.",5ed716888a042d1a311fd97a,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,This is an attention check. Please select 'Neutral (3)' and '4: Very Confident. You were very certain about your judgment with no hesitation',5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"Persuading someone to take action only through words is something that not everybody can achieve. But on the other hand, if you know the rules of successful ad copywriting, you'd know that when you use the right words and present your copy effectively, you can easily persuade your prospect to buy what you're selling.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,felt like reading off a script,4,"Have you been looking to get started a bathroom remodeling job shortly? If that's so, do you have all the things which you will require? In regards to toilet remodeling or perhaps about any other house enhancement venture, numerous men and women instantly think of the components that will be made use of.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,direct,4,"Education of a nation rests equally on which the child gets more out of the educational process in the early years of his lifetime, when minimum standards of behavior are planted just by parents, but then they are going to supplemented by a thorough schooling at different grades.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,no gurls ,4,Shit Lyfz so depressing here in RAK ; ...Plzzzz Cheer Me Frnds......I dont want to die........I am in boring college.......Dont have any gud frnds...........And most of all.....No Gurls....!!!,5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,not really expressive ,3,"It is a bit suprising that although the world seems very close to finding the AIDS total curing medication, the epidemic is not afraid of the fact, so as to stop killing people, at least for a while. Our behaviour should not be influenced by the closness of geting AIDS treatment but by the fact that AIDS is still a threat.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"There’s no person in the world who is made to handle every punch that is thrown at them. We aren’t made that way. In fact, we’re made to get mad, upset, sad, be hurt, stumble, and fall. We aren’t supposed to be able to handle everything. But that’s what makes us stronger in the end, by learning from the things that hurt us most...",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,lengthy ,3,"What's the ideal way for guys to tactic online dating? Nicely, even even though most individuals working with on the net dating products and services are definitely wanting for their lifelong lover, the genuine essential is to make certain that you are possessing and sharing entertaining. If you get stressed about it or start off to acquire it all also significantly at the outset, then you are most likely in the conclude to wind up meeting the incorrect people.",5ed716888a042d1a311fd97a,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,5,This is an attention check. Please select 'Very Masculine (5)' and '4: Very Confident. You were very certain about your judgment with no hesitation',5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"It's easy to forget the true meaning of this day, what with all the important things we have to do like homework, barbecues, swimming, and otherwise enjoying life. All of these things are possible because of the great nation that we live in, a nation that those who came before us died to create and defend. Try and remember those who fought and died for our country on every day of the year, and especially today.",5ed716888a042d1a311fd97a,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,very expressive ,2,"OMG it is so hot and humid! Today was this close to being absolutely horrible, but there was one saving grace, and I'll save that for the end of this post. So, today I realized the full extent of the work I have to do (and should be doing now, but its too fucking HOT to stay focused) and have not done. All of my classes where boring as hell, History was the usual blend of note taking and sitting around with nothing to do, but today it was like a sauna (this is not good).",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,expressive,2,"Ahh finally the weekend a time for relaxing but i will do that later, today has been pretty fun there has been a very relaxed atmosphere in lessons today. Physics was fun having a water fight (again) while using a big electric thingy... hmm not really a good idea now was it meh nevermind of course i had to use the big electric thing (it's like one of thosse things which make your hair go up) so I am holding on to it while evryone was touching me... ;)",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,felt like telling a story ,2,"My parents are a bunch of people... Nothing more than that really... They're cranky, and don't do anything unless they get five times of what you get out of it. I asked if they would take me Circuit city, a while ago... They still haven't. And they said the would take me today, on Monday. So, my 'mother' asked if I was expecting them to take me, and I answered her with a 'no'. She said 'Alright.' I then asked her later, and she said 'I was basing my decision on whether you had expected me to. So, she gets her way, again.",5ed716888a042d1a311fd97a,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,word choice,4,I've been thinkin bout yesterdae...i talked to muh homie pimp ova tha phone yest afta i msged gd nyt to Y...mayb i'm too fast to jump to conclusions..dat's whut muh homie pimp said..he said i only know Y fer lyk bout two months..and i'm alwayz assumin thiz that..assumin that she doesn't know real/harsh lyf..assumin that she wuz angry at me when i failed to meet her up..diz isn't how i'm supposed to take things..,5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"Decisions, decisions…. sometimes they can truly be a pain in the derriere! When a friend of yours operates on a family member who also happens to be one of your employers and performs the surgery wrong, the question then becomes what do you do? Well of course the surgery needs to be performed again, but who performs this time? Do allow the prior physician to rectify the problem, or seek out some other surgeon? It’s a situation that places you in an awkward position for future work.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"This is what I still have left to pack. /(-.-)\\ As you can see above, today I was Getting a few last-minute items taken care over before I make my way to Tokyo on the 31st of this month. Until now I have been looking at this large pile of clothing and putting off packing it up until the eleventh hour. Now it's crunch-time and I have to have it all taken care of before the 30th. I know I really shouldn't be procrastinating so much.",5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"If music is said to tame the savage beast, then let's review a couple to tame our hectic lives. A song is like a 5 minute journey into a world of pure freedom. Freedom that knows no boundaries. Freedom people and nations preach about that we can only dream of... Mostly likened to bands like Travis and Coldplay, I would say they're rather in a league of their own. Comparisons aside, let their music convince you. Hopes and Fears opens with Somewhere Only We Know , dismissing your doubts on a no-guitar policy.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,expressive,2,Woooooooo!!!!!!! THe Plane flown off liao......Raine PANG SEH me!! last minute say cannot go kayaking....anyway...slept till 2pm. Today's fitness programme was very much similar to yesterday's. Just did 20 more full squats. My thighs quite stiff now.,5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,^_^,2,"I went to my dinner dance yesterday, and it was pretty fun ^_^, but i managed to do a drawing.....that I'll post when I get my scanner working. So till then...I'll just be drawing :3 For all you peole looking for Kami Kaze manga, heres the url: urlLink kami kaze I got it off a friend ^_^ Yay! i just came back from the mall and got the Get Backers manga! but talk about expensive! they were about.. $10 each >_
Just updating as usual......",5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"Thank you God!!! You have said you will provide us with what we need and you definitely showed it tonight! The spaghetti dinner we had to raise money for Melinda's mission trip to france brought in over $800! I was hoping for $300. I mean, this being the first thing the youth group has done like this and all, i wasn't sure what would happen. For a while i was kind of doubting a good turn out.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Aurgh,4,Work!! Work!! I hate my workplace!!! Well for one my car stereo got stolen from work over the weekend while i was working...I wold have saved myself $300 my calling off...Aurgh!!! Now they are causeing major problems with my vacation time...have place rented and they are saying they CANT give me the first weekend of my vacation off. I'm about to quit.,5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"Its Saturday and its supposed to be the weekend .. Internationally at least... unfortunately, over here, I'm not so lucky.. Well, its my off day but due to some warped up system over here. Only Friday is the weekend... every other day, its a busy work week. Now is that even fair? But who are we to judge? I was working on Friday while everyone was out having their fun .. fairness has been out of my dictionary a long time when I was back home working in an industry which required me to work 7 days a week...",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"I ran a 10 Miler on May 15th. I was slightly disappointed that I bonked at mile 7. I still finished the distance, but I noticed a drastic *increase* in mile pace once my body started to shut down. I didn't hydrate properly the night before... and I didn't fuel during the run. It's so strange that one forgets that the body needs energy too. Over all I was proud of myself for keeping my committment to cover the miles...",5ed716888a042d1a311fd97a,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,"This is an experiment for a rainy day. I wrote some entries for this blog a couple of weeks ago but deleted them. I don't want fame ! But I do enjoy reading blogs and now that I've mysteriously acquired a comment, I feel it's only right to give something back. So about this lack of desire for fame.",5ed716888a042d1a311fd97a,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"I called Mom and asked her to read the recipe to me over the phone. I had made it many times so I really just needed the ingredients. I made the fudge, there in my own kitchen far from home and it tasted just as good as it did at home. 1 c. sugar 1 c. brown sugar 3/4 c. milk 2 Tbs. light corn syrup 3 Tbs. butter 1/2 c. or more peanut butter 1 tsp vanilla Mix sugars, milk, and corn syrup in a pan and cook until the soft ball stage.",5ed716888a042d1a311fd97a,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,The crowed cheered as the fireworks began. There was a massive eruption. Several smaller bursts followed. The smoke clears as more eruptions continued. Eventually the fireworks wained.,5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4,"We walked down a scary path. We saw urns stored near a funeral. Inside the columbarium, it was dark. We waited around, hoping for a ghost. We didn't see a ghost, but we did see a startling statue.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"I was hanging out with friends at the bar. We took a lot of pictures. It a time filled with fun. There was a lot of food to eat. I think, we should have such meet up weekly.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,"Last night, we were trying to decide what to have for dinner, so we looked at some menus. My best friend got distracted and suggested we go to a pet show she'd heard about. My other friend got her back on track, and we talked more about restaurants and menus. I remembered one restaurant we used to go to go to that closed down and we miss. It seemed like we had read a million menus for hours and hours!",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley.",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4,"Wow, a carnival and a rodeo! There's nothing like watching a cowpony enjoy a run. This horse has his eye on the target If the cowboy does his toss right, neither he nor the calf gets hurt. Thrills and spills at the rodeo! IT IS A COLOURFUL LIGHTS",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4,"The cow is ready to go on a adventure. First he climbed onto this statue. Next, he felt rebellious and broke the rules of the no trespassing sign. The adrenaline from the mischievous behavior led him to the cattle barn. After which he finally ended his journey at the State Fair grounds.",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4,"We had a night of fun. We gathered at an apartment and had some drinks. Some guy was thinking it'd be funny to put his head in a vice. A friend offered a sip of some ails. It was a good time, and we got goofy that night.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance. Every year, the snow fall begins around the same time.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,2,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,"When in the woods, I saw such gigantic spider webs I needed to keep walking! There was this giant spider that was so nasty and plump, and it was sitting on a leaf. Although I was scared, I was still curious as to how a web that big was made from that type of small spider. After examining the web, I walked out of the woods, and started walking towards my route home, where I was waiting for the subway. On the way into the station, I saw this unique art show display, which was a very cool pyramid-like creation.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3,"I dedicate my life to supporting other people as they create their ideal lives and accomplish their objectives. Clearly I practice what I teach, therefore each new perspective I add to my information base rewards us all. Hence I set myself the job of discovering what the Bible can provide to individuals who genuinely want to locate a life-journey that is content, wealthy and fulfilling.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"These things have I written unto u that believe on the name of the Son of God; THAT YOU MAY KNOW THAT YOU HAVE ;ETERNAL LIFE (GOD KIND OF LIFE), and ;that you may believe on the name of ;the Son of God (1John 5:13). ;If u are born again, u now have eternal life (the same life that God has). Your life is different from the life people who;are not born again have. U are a heavenly man/woman.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,"Each parent aims to bring up a child that's loving, providing, self-confident, happy, and a part of a carefully knit household. Parenting is a organic approach and much more often than not it is not guides, counselors, or medical doctors that may manual you however it is your in born intuition and bonds with the kid.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,"Blog writing is a very good way of expression of our inner feelings. it redresses our mental activities.So, find it very useful exercise, especially when there is no work and boring ... ;But, the problem arises when we start writing...what to write, how to write, how to start..what should be the title..The matter etc, etc,?????? ;There is a vast field of topics viz..love, friends, family , Sex, sexy, beautiful so on and so...",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,I am a working journalist living in NYC. I joined news paper so that I can network with people and give myself more exposure with the fashion world. Please get in touch if your interested in working with me,5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"To consistently build a fortune in life, you need to in one way or additional be adding value towards life of anyone. You must be providing approaches to the problems simply being faced by most people. Without adding price or solving people's problems you can't create wealth.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,5,"It is those who cnt swim that are quick to tell u how u r gna drown.i cn make a better person out of myslf i dnt need ur negative input our frndshp myt aswel end here.im mvng on wt positive mindd people. iRepeat# Never have anything in your life that you cant get rid of in ten seconds flat, in the event that it threatens your current state.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,This is an attention check. Please select 'Neutral (3)' and '4: Very Confident. You were very certain about your judgment with no hesitation',5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"Persuading someone to take action only through words is something that not everybody can achieve. But on the other hand, if you know the rules of successful ad copywriting, you'd know that when you use the right words and present your copy effectively, you can easily persuade your prospect to buy what you're selling.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"Have you been looking to get started a bathroom remodeling job shortly? If that's so, do you have all the things which you will require? In regards to toilet remodeling or perhaps about any other house enhancement venture, numerous men and women instantly think of the components that will be made use of.",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,"Education of a nation rests equally on which the child gets more out of the educational process in the early years of his lifetime, when minimum standards of behavior are planted just by parents, but then they are going to supplemented by a thorough schooling at different grades.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,5,Shit Lyfz so depressing here in RAK ; ...Plzzzz Cheer Me Frnds......I dont want to die........I am in boring college.......Dont have any gud frnds...........And most of all.....No Gurls....!!!,5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3,"It is a bit suprising that although the world seems very close to finding the AIDS total curing medication, the epidemic is not afraid of the fact, so as to stop killing people, at least for a while. Our behaviour should not be influenced by the closness of geting AIDS treatment but by the fact that AIDS is still a threat.",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"There’s no person in the world who is made to handle every punch that is thrown at them. We aren’t made that way. In fact, we’re made to get mad, upset, sad, be hurt, stumble, and fall. We aren’t supposed to be able to handle everything. But that’s what makes us stronger in the end, by learning from the things that hurt us most...",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"What's the ideal way for guys to tactic online dating? Nicely, even even though most individuals working with on the net dating products and services are definitely wanting for their lifelong lover, the genuine essential is to make certain that you are possessing and sharing entertaining. If you get stressed about it or start off to acquire it all also significantly at the outset, then you are most likely in the conclude to wind up meeting the incorrect people.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,5,This is an attention check. Please select 'Very Masculine (5)' and '4: Very Confident. You were very certain about your judgment with no hesitation',5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,3,"It's easy to forget the true meaning of this day, what with all the important things we have to do like homework, barbecues, swimming, and otherwise enjoying life. All of these things are possible because of the great nation that we live in, a nation that those who came before us died to create and defend. Try and remember those who fought and died for our country on every day of the year, and especially today.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,1,"OMG it is so hot and humid! Today was this close to being absolutely horrible, but there was one saving grace, and I'll save that for the end of this post. So, today I realized the full extent of the work I have to do (and should be doing now, but its too fucking HOT to stay focused) and have not done. All of my classes where boring as hell, History was the usual blend of note taking and sitting around with nothing to do, but today it was like a sauna (this is not good).",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,2,"Ahh finally the weekend a time for relaxing but i will do that later, today has been pretty fun there has been a very relaxed atmosphere in lessons today. Physics was fun having a water fight (again) while using a big electric thingy... hmm not really a good idea now was it meh nevermind of course i had to use the big electric thing (it's like one of thosse things which make your hair go up) so I am holding on to it while evryone was touching me... ;)",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4,"My parents are a bunch of people... Nothing more than that really... They're cranky, and don't do anything unless they get five times of what you get out of it. I asked if they would take me Circuit city, a while ago... They still haven't. And they said the would take me today, on Monday. So, my 'mother' asked if I was expecting them to take me, and I answered her with a 'no'. She said 'Alright.' I then asked her later, and she said 'I was basing my decision on whether you had expected me to. So, she gets her way, again.",5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,5,I've been thinkin bout yesterdae...i talked to muh homie pimp ova tha phone yest afta i msged gd nyt to Y...mayb i'm too fast to jump to conclusions..dat's whut muh homie pimp said..he said i only know Y fer lyk bout two months..and i'm alwayz assumin thiz that..assumin that she doesn't know real/harsh lyf..assumin that she wuz angry at me when i failed to meet her up..diz isn't how i'm supposed to take things..,5f4eb642ce413e0ecc88e227,,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,5,"Decisions, decisions…. sometimes they can truly be a pain in the derriere! When a friend of yours operates on a family member who also happens to be one of your employers and performs the surgery wrong, the question then becomes what do you do? Well of course the surgery needs to be performed again, but who performs this time? Do allow the prior physician to rectify the problem, or seek out some other surgeon? It’s a situation that places you in an awkward position for future work.",5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,"This is what I still have left to pack. /(-.-)\\ As you can see above, today I was Getting a few last-minute items taken care over before I make my way to Tokyo on the 31st of this month. Until now I have been looking at this large pile of clothing and putting off packing it up until the eleventh hour. Now it's crunch-time and I have to have it all taken care of before the 30th. I know I really shouldn't be procrastinating so much.",5f4eb642ce413e0ecc88e227,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"If music is said to tame the savage beast, then let's review a couple to tame our hectic lives. A song is like a 5 minute journey into a world of pure freedom. Freedom that knows no boundaries. Freedom people and nations preach about that we can only dream of... Mostly likened to bands like Travis and Coldplay, I would say they're rather in a league of their own. Comparisons aside, let their music convince you. Hopes and Fears opens with Somewhere Only We Know , dismissing your doubts on a no-guitar policy.",5f4eb642ce413e0ecc88e227,,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,Woooooooo!!!!!!! THe Plane flown off liao......Raine PANG SEH me!! last minute say cannot go kayaking....anyway...slept till 2pm. Today's fitness programme was very much similar to yesterday's. Just did 20 more full squats. My thighs quite stiff now.,5f4eb642ce413e0ecc88e227,,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,"I went to my dinner dance yesterday, and it was pretty fun ^_^, but i managed to do a drawing.....that I'll post when I get my scanner working. So till then...I'll just be drawing :3 For all you peole looking for Kami Kaze manga, heres the url: urlLink kami kaze I got it off a friend ^_^ Yay! i just came back from the mall and got the Get Backers manga! but talk about expensive! they were about.. $10 each >_
Just updating as usual......",5f4eb642ce413e0ecc88e227,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,"Thank you God!!! You have said you will provide us with what we need and you definitely showed it tonight! The spaghetti dinner we had to raise money for Melinda's mission trip to france brought in over $800! I was hoping for $300. I mean, this being the first thing the youth group has done like this and all, i wasn't sure what would happen. For a while i was kind of doubting a good turn out.",5f4eb642ce413e0ecc88e227,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,Work!! Work!! I hate my workplace!!! Well for one my car stereo got stolen from work over the weekend while i was working...I wold have saved myself $300 my calling off...Aurgh!!! Now they are causeing major problems with my vacation time...have place rented and they are saying they CANT give me the first weekend of my vacation off. I'm about to quit.,5f4eb642ce413e0ecc88e227,,I agree
1: Not Confident. You were unsure or found the text ambiguous,,3,"Its Saturday and its supposed to be the weekend .. Internationally at least... unfortunately, over here, I'm not so lucky.. Well, its my off day but due to some warped up system over here. Only Friday is the weekend... every other day, its a busy work week. Now is that even fair? But who are we to judge? I was working on Friday while everyone was out having their fun .. fairness has been out of my dictionary a long time when I was back home working in an industry which required me to work 7 days a week...",5f4eb642ce413e0ecc88e227,,I agree
