"p_id","round","mean_style_score"
"67cf26277f2372acf15525f7",2,3.175
"67d38e686bef986a7bf9e769",10,2.75
"67d9376e7e1045d6057326bd",9,3.4
"67de29bd78596e7172e39fbb",2,3.05
"67df17f6673d3c0754f7fb33",11,3.05
"67e174c65010100703da9b84",3,2.875
"67e7b44b708fcee3c458d4cf",12,2.175
"67eb00031cf39b51136ddde7",1,3.13333333333333
"67f2a88a874ffbefd55213cf",4,2.95
"67f3ee05beb4472c42e0b1f9",5,3.25
"67f3f1348c08f742bc5ee080",2,3.175
"67f4d8c919037513ec751c18",5,3.075
"67f6f2694f0760402a60eaab",1,2.96666666666667
"67f89dcb3065174eabea4d87",4,2.875
"67f8c20cf61a8acffde010a7",5,3.425
"67f983df028afabb128a02d6",3,2.725
"67f99e94c056d99fa49d27a5",5,2.9
"67fa1bdfeb11bec34cfc29e8",7,2.75
"67fc6e08e2aed442d70438d3",3,2.775
"67fc6f0234b9e12086c67a6e",2,2.775
"67fca74d1db2eac7da789e1e",1,3.1
"67fd17aeb3ab10145eeb9781",6,3.375
"682a234ab14c7bd80b9b5d47",11,2.9
"682ccced13479526ebcb4360",9,2.775
"682e1dfae06b67a1f4ce070e",9,4.65
"682e2a3e8a44f3f4e2aac127",11,3.25
"682fa2f5aa8edd41cd06722a",11,3.225
"68325a01e0770b3870ea26b3",11,2.575
"683761c496867fc42f6f571b",10,2.675
"683b2e27e104483882e25c00",10,3.15
"683b76dbdec83b1c5a663d27",13,2.7
"683ca599021675cdcae2a561",11,3.1
"683f4c4a95e6ac73e9eff935",13,3.125
"683f8dfd46ee96edd290371c",9,3.3
"68406af7706e13b75e68962e",11,2.825
"6840b151c4d7e9898535450f",13,3.325
"6840e0c53c5973f71512e724",9,2.375
"6841eaf1a77941aa86041c54",13,3.25
"6843d1689d61b53eeae097b1",12,2.775
"6844b3c2054528c906e04f16",12,3.675
"6844ec5c3f032b8836dc5afb",10,3.575
"68478bceda532e24d18a322b",9,2.95
"6848b86c31ff951705fe0721",13,2.625
"68499336b2a3912ef86bf3ee",10,2.95
"684a3771c56bb750e8fe13d8",12,2.825
