"p_id","short_text","style","confidence","comments","data","consent","feedback","style_score","confidence_score","label","text_id","mapped_style","round"
"5e69987e0873d600084bc920","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"male","1915703",1,1
"66465157b6bf80457ea8d9fd","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","3","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,3,2,"male","1915703",3,1
"677b8a7c2a2c77756c6e49c8","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","1915703",5,1
"5bf1c289a34fea0001ddbe06","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"male","1915703",3,1
"675898341fe16ac844f98d26","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"male","1915703",3,1
"5a7db51c2a842c0001fc7657","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","5","4: Very Confident. You were very certain about your judgment with no hesitation.","Less about emotional feelings, more about facts.","BLOG","I agree",NA,5,4,"male","1915703",5,1
"673c9f4e2c5c7104667e8e46","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"male","1915703",1,1
"62d2aee15e1dc6709bdcace0","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","4","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,4,2,"male","1915703",5,1
"675dd4aed41b2116f978a0a1","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","4","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,4,4,"male","1915703",5,1
"5fa8827f5d5c5c73a1308378","Lately I realize that my problems are not the worst thing in the world . . . does this mean I am cured? Not likely, but I have realized that despite what I may not have, that does nothing to devalue those things I have had all my life. My values, my beliefs, my principles . . . whatever you call it, I have them. I have friends, I have family, I have my physical health . . .","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.","This feels concise, though it deals with relationship, which is allegedly feminine.","BLOG","I agree",NA,4,2,"male","1915703",5,1
"5e69987e0873d600084bc920","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","2304201",5,1
"66465157b6bf80457ea8d9fd","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","3","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,3,4,"male","2304201",3,1
"677b8a7c2a2c77756c6e49c8","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","2304201",5,1
"5bf1c289a34fea0001ddbe06","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","2304201",5,1
"675898341fe16ac844f98d26","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","4","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,4,2,"male","2304201",5,1
"5a7db51c2a842c0001fc7657","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","3","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.","Somewhat emotional, but not too much. The sentences are short and lack complexity for the most part.","BLOG","I agree",NA,3,2,"male","2304201",3,1
"673c9f4e2c5c7104667e8e46","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","3","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,3,4,"male","2304201",3,1
"62d2aee15e1dc6709bdcace0","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","3","1: Not Confident. You were unsure or found the text ambiguous",NA,"BLOG","I agree",NA,3,1,"male","2304201",3,1
"675dd4aed41b2116f978a0a1","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","5","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,5,4,"male","2304201",5,1
"5fa8827f5d5c5c73a1308378","Life is OK. It seems no matter how many events are smashed into one day, I can never decide whether it was good or bad. Example: yesterday was pretty good. I got alot of work done, and after waiting for a while, got to go to the Chicago party at last. That part was great. Also, if you haven't seen it yet, you really should. But as I left to my grandparents house, where I know I don't spend enough time.","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.","why does this paragraph seem to end at an important point? It feels feminine-ish, mostly because this person talks about not spending enough time with their grandparents","BLOG","I agree",NA,2,2,"male","2304201",1,1
"5e69987e0873d600084bc920","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","4","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,4,2,"female","2848269",5,1
"66465157b6bf80457ea8d9fd","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","1","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,1,2,"female","2848269",1,1
"677b8a7c2a2c77756c6e49c8","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"female","2848269",1,1
"5bf1c289a34fea0001ddbe06","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"female","2848269",5,1
"675898341fe16ac844f98d26","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","2","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,2,2,"female","2848269",1,1
"5a7db51c2a842c0001fc7657","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","5","4: Very Confident. You were very certain about your judgment with no hesitation.","Short and matter of fact sentences, with language geared towards the concrete/actionable things, rather than feelings. No inclusive language.","BLOG","I agree",NA,5,4,"female","2848269",5,1
"673c9f4e2c5c7104667e8e46","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","2","4: Very Confident. You were very certain about your judgment with no hesitation.","Expressions of personal feelings and health contribute to a somewhat feminine style.","BLOG","I agree",NA,2,4,"female","2848269",1,1
"62d2aee15e1dc6709bdcace0","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","2","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,2,2,"female","2848269",1,1
"675dd4aed41b2116f978a0a1","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"female","2848269",3,1
"5fa8827f5d5c5c73a1308378","I'm a 'metal head' now... lol, well, I just got my eyebrow pierced today. It didn't really hurt, and 3.5 hours later, it still doesn't. It looks great too. I love it. I hope it doesn't get rejected. I haven't had much time on the computer these past days, and on Thursday morning I'll be going camping for at least four days. I should be back on the computer a lot again afterwards, because I'll have nothing else to do really. I'm sick right now though, so I'm going to sleep. G'night.","1","4: Very Confident. You were very certain about your judgment with no hesitation.","word choice, and abbreviating","BLOG","I agree",NA,1,4,"female","2848269",1,1
"5e69987e0873d600084bc920","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","5","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,5,2,"male","2324980",5,1
"66465157b6bf80457ea8d9fd","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","2324980",5,1
"677b8a7c2a2c77756c6e49c8","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"male","2324980",5,1
"5bf1c289a34fea0001ddbe06","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"male","2324980",1,1
"675898341fe16ac844f98d26","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","3","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,3,2,"male","2324980",3,1
"5a7db51c2a842c0001fc7657","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","4","4: Very Confident. You were very certain about your judgment with no hesitation.","Mostly masculine in use of pronouns, but does include a small amount of inclusive language. However, includes actionable language ""I'm shooting"", yet also describes some emotions ""I'm tired""","BLOG","I agree",NA,4,4,"male","2324980",5,1
"673c9f4e2c5c7104667e8e46","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","5","4: Very Confident. You were very certain about your judgment with no hesitation.","The text uses strong, authoritative statements and commands, expressing frustration and assertiveness.","BLOG","I agree",NA,5,4,"male","2324980",5,1
"62d2aee15e1dc6709bdcace0","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","3","1: Not Confident. You were unsure or found the text ambiguous",NA,"BLOG","I agree",NA,3,1,"male","2324980",3,1
"675dd4aed41b2116f978a0a1","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","3","1: Not Confident. You were unsure or found the text ambiguous",NA,"BLOG","I agree",NA,3,1,"male","2324980",3,1
"5fa8827f5d5c5c73a1308378","Dear Friends I'm tired of my opinions being tolerated. I'm tired of being told that I'm different but tolerable. And I'm shooting the next person who tells me I have 'an interesting way of viewing things.” I would rather have somebody say 'you're wrong and this is why' than 'I'm not sure if I agree but I guess your opinion makes sense from your point of view.” It's like it completely contradicts society to be 'right' or ‘wrong’… and all we have left is the grays and maybes.","1","4: Very Confident. You were very certain about your judgment with no hesitation.","first of all, the reason why we are left with ""grays and maybe's"" is because the world is incredibly nuanced and the individual judging the statement cannot be fully objective in their judgment so being cautious saying someone is wrong is not bad practice. This feels feminine, even though there is violence, which tends to be male, but this person is clearly relying on hyperbole to get their point across.","BLOG","I agree",NA,1,4,"male","2324980",1,1
"5e69987e0873d600084bc920","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"female","2360457",3,1
"66465157b6bf80457ea8d9fd","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","4","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,4,2,"female","2360457",5,1
"677b8a7c2a2c77756c6e49c8","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","2","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,2,2,"female","2360457",1,1
"5bf1c289a34fea0001ddbe06","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","5","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,5,4,"female","2360457",5,1
"675898341fe16ac844f98d26","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"female","2360457",3,1
"5a7db51c2a842c0001fc7657","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","4","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.","Mostly includes shorter sentences and factual language about events.","BLOG","I agree",NA,4,2,"female","2360457",5,1
"673c9f4e2c5c7104667e8e46","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","3","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,3,2,"female","2360457",3,1
"62d2aee15e1dc6709bdcace0","Summer is the best time to watch old movies. There isn’t really anything on TV, except reruns. Since I saw the shows I like the first time, I really only watch reruns of crime shows like Law and Order or Without a Trace. But honestly, I don’t need an excuse to watch old movies. It’s just a good reasoning -- especially since I don’t have cable. And tonight I got to watch another Van Johnson movie.","3","4: Very Confident. You were very certain about your judgment with no hesitation.",NA,"BLOG","I agree",NA,3,4,"female","2360457",3,1
