confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,The art museum featured an interesting installation recently. They also received some striking new collage artworks. One corner of the space features a dramati cnew sculpture. Another exhibit was comprised of a rising mound of chairs. The creations at the museum were always fascinating to experience.,28212_2,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"This seemed like a good idea at the time but now I find myself not sure what it is I want to include here. So....for the most part I am going to begin. This week has been challenging, last night was my 6th shift in a row and still one more to go before having 2 nights off. For the most part I enj...",4032894,1,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"After you've worked on your first website for a while and seen that visitors do not magically arrive at your virtual doorstep, you start to learn a little about traffic generation. One of the first things you will probably encounter is building links. Let's take a look at what link building is an...",17c1a2884c8e60f7143a45e48d67754,female,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Along with the terminology, the  mechanics of graphic reproduction progressed as effectively. Designers choose out typography, animation, photography, artwork, audio, colour and other visual features for their artwork.The arrangement and dimensions of the layout aspects as they appear on the disp...",fe345e018455de3756fa7601508c1bf8,female,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,,,673696f7eb242cad3b6230ef,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,It is the 4th of July. The fireworks sputtered with light. Fire took flight from the ground. There were some difficulties with some of the fireworks lighting properly. The finale was a dazzling display of awe.,16331_0,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"And I came back with not only a tan, but a much better attitude. One of my friends brought a picture we'd taken together 3 years ago, and holy cow. (literally...cow) I was totally shocked at how different I look now, in a good way. It's really what I needed to get my head straight again. The fact...",3749229,1,BLOG,673696f7eb242cad3b6230ef,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"All people experience stress, and no doubt life has become much more stressful especially when your deadline is coming up and it is highly needed to connect to the internet, but the connection has got the speed of snail. Oftentimes, this causes you headache and wants to have a provider that gives...",75a79f733806de8ccf3eed70e42fbf1d,female,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,I am participant on the day of the competition I ride and pipe some perfomance There were waves and shooting sand also I started to shoot rider I ridded and speed the wave,4743_1,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,2
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,"When you accept the idea that humans evolved without the aid or existence of a Creator you have stepped onto a dark path that leads to an ethical nightmare of meaninglessness. From a macro view, the honest evolutionist must consider all activities of the human species as amoral. We are biological...",3354539,0,BLOG,673696f7eb242cad3b6230ef,,I agree,4,1
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,Lets sit down before the show starts. They went all out this year. I wonder how much it cost this year. These are some quality fireworks. My camera must of run out of film since there is no picture here.,157_1,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"In a smaller town, it holds one of the largest marathon events annually. The town's residents all show to show support to the runners. when deciding to partake in the marathon, its a matter of your level and experience with running. The marathon's route winds through the town passing historic monuments. The town waits near the end of the race, registering times for the runners.",20021_2,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,3,2
1: Not Confident. You were unsure or found the text ambiguous,,5: Very Masculine,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',3,,,673696f7eb242cad3b6230ef,,I agree,5,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,I know we've been having trouble with the web form I made - Sorry! If you all could just print it out an snail mail it back to me that would be great! I really want this Family Reunion to happen! I appreciate everyone's help in getting this accomplished. We will have a great time and it will be s...,3379667,1,BLOG,673696f7eb242cad3b6230ef,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,Just moved the weblogs to my house so pictures will be coming soon. No more annoting banner ads either!Things can get boring down here in South GA. Besides work and school there isn't much more to do than go out to a bar. Perhaps boredom causes people here to get a little more tore up than others...,2856323,0,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,my son is learning how to appreciate cars. he's helping me learn our family car today. I'm trying to get him to concentrate. but he's more concerned with the handle than the car. we'll finish cleaning the car eventually.,13431_1,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,5: Very Masculine,"Once the battery's temperature is among 32 degrees F - 113 degrees F, the charger will start off charging the battery. When the charger's green indicator light is blinking, then the battery charger is charging.Tip #9 - When the energy in your battery is made use of up, the Dremel automatically tu...",ad5b92310a343252b0d604cc16c1c313,female,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,5,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"People over to shop at this store. The mannequins always look so fancy. Shoe sales accomidate the changing seasons. It's time to get rid of your old, worn out clothing. Shop with us and look fabulous.",35040_0,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"How to Tap a Cell PhoneDo you need a cell phone tap? Are you afraid that your partner is cheating? Is your child texting strangers? Is your employee not using his or her phone for work?! Do you need to find out how to tap a cell phone?Let's be honest, if you suspect someone is up to no good you c...",a880a3a35fe32b90e0eb61b20d0de1cb,male,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"The leveraged buy out (LBO) and management buy out (MBO) are common tools of American business whereby an acquiring entity will purchase its target through a combination of debt and equity. No brilliance there right? The clever part, however, comes in where the target company (i.e. its assets) ar...",3771404,0,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"...And all the kings men couldn't put my poor PC together again. I've been having a few problems with my main windows box lately. Heavy disk utilization (I can hear the disk grumbling at me as we speak) and slow as molasses. The system isn't using any CPU cycles, just waiting for the disk to hurr...",3288783,0,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,My vacation started with a trip to a park. The park featured cartoon dwarfs. It also had many roller coasters. My mom went on every single ride with me. At the end of the day everyone had a lot of fun.,28507_0,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"This is my first Blog so Let's Talk! Most Sellers that choose the FSBO route, do so because they are reluctant to pay the commission fee. Why? Sellers feel that we get paid too much money to put a sign in the yard & input information about their property on the MLS. Unfortunately, we as real esta...",3654296,1,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Emotional and reflective ,1: Very Feminine,As my life moves towards things I don't want. I feel myself drawing inward into me. Closing myself off from the outside world. Becoming quieter and quieter..friends aren't acting like true friends...love that can't be had...because we can't do distance. Not sure where I'm going to live for a mont...,3988394,0,BLOG,673696f7eb242cad3b6230ef,,I agree,1,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Surface level detail with not further details,5: Very Masculine,There was an event at a college with an information booth. Students where were pledging their support for an important issue. There was even ice cream at the event. The students were enthusiastic about the issue. There was even a speaker there.,38255_2,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,5,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"He stayed in the Hard Rock Casino when we visited Florida. We didn't stay in the casino very long and decided to visit the surrounding city. It was close to sunset and we wanted to see the beach. There were not too many people there, so we had the beach to ourselves. The sunset was beautiful and we will probably do the same thing tomorrow.",5375_0,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"The store had a lot of wrapping paper for the holiday and season. When I got home, my mom told me she had cooked the food on the table. The whole family enjoyed dinner together. Then we opened gifts! We enjoyed the time we spent together opening gifts.",29670_1,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"When I saw the movie---> along came Polly . I do love a section of an actor's lines in the movie. It's about how to treat our life, as follows: ' It's not about what happened in the past or what you think might happen in the future. It's about the ride, for Christ's sake. There's no point going t...",3596051,0,BLOG,673696f7eb242cad3b6230ef,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,The strumming of the acoustic guitars created a calming atmosphere. The building stood in the distance illuminated by the night sky. Her vocals pulled you into a thoughtful trance. He walked somberly down the path. A hearty breakfast to start the day.,22592_1,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,2,2
