confidence,comments,style,texts,text_id,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"life's awsome when yur having fun and happy...but is it really all that worth it in the end?.... my answer to that is no.. and ill tell you why these 2 past years ive changed alot. I havent focused on God enuff, ive been just trying to live the life that everyone expects a teenage gurl to live. Hanging out with different people, some good and some bad, haveing fun and joking around...",3490604,65c19e5c8cb201d8efe696bf,,I agree,2,3
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,":'-(
urlLink The Science Fiction Museum and Hall of Fame How cool is that? A museum dedicated to Science Fiction. And it's in the city I live in too. Money is tight...but I might just have to become a urlLink member of this museum.
",3446946,65c19e5c8cb201d8efe696bf,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"I can't breath or nothing... going to the doctor..... I hate this crap.... ah well... soemtimes, you gotta deal with it...
I have been sick for the past couple of days.. while, it has been raining the last couple of days... Coincidence?? hmmmm....",3464451,65c19e5c8cb201d8efe696bf,,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"Tonight I headed home on the bus and started to reflect on things, after a pretty good evening with one of my friends. I don't know what it is about the bus or the skytrain, but I always start to think about things when I am on either one of them. The same thing occurs when i go for long walks.",3457177,65c19e5c8cb201d8efe696bf,,I agree,2,3
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,hey diary ... today did nothing much in the office .. still waiting for ma visa to go uk .. hmm the news that i heard three weeks ago about me being booked for a job in uk (leeds to be precise) has gone from on cloud nine to shit might not be going ... the september 11 really has gave a lot of effects to ma working life .. been rejected a working visa to new york just because i got a 'bin' in the middle of ma name ...,3445273,65c19e5c8cb201d8efe696bf,,I agree,4,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"So, last Friday on my birthday, my cat turned 11. Yes, his birthday falls on my birthday. Anyway, the part of how smart my cat is that I mentioned a couple of days ago. My cat came and got me because he wanted food, which is no different from any other time. I have an understanding with him that if there's significant food in his plate, he doesn't get any more (unless I'm leaving for the day or something — I'm not a total ogre);",3445442,65c19e5c8cb201d8efe696bf,,I agree,3,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"I am like sooo out of it today...i called alex at like 9:30 last night, and we talked until like 2 something in the morning...five hours of my non~stop babble, i don't understand how he puts up with it…",3464820,65c19e5c8cb201d8efe696bf,,I agree,2,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"OMG i havn't writen in a long time. i'm at my grandmas and bored. so there. more later
lately i have been desprately lonely. i don't know why. i just keep thingking why don't i have more friends? why do i thinkinh that everyone has been up to fun stuff w/ out me? i'm probably just paranoied.",3475178,65c19e5c8cb201d8efe696bf,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,"okay, so apparently flogging molly is coming to philly august 6, 2004. they're going to be at the tweeter center i think... omfg if i don't get tickets, i will flippppppppp...and howard shore (lord of the rings music composer) is coming july 13? or something... i want to see that too... dammit, i want to see a lot of people this summer... annie lennox and sting are coming june 23, i think.. ahh, someone buy me flogging molly tickets... i don't think they're on sale yet.. they better not be... GRRR",3469096,65c19e5c8cb201d8efe696bf,,I agree,1,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"Hey! It's me again!!! I'm kinda bored eh. So mind as well write something in my blog. :) Uhm, Classes are fast-approaching. I'm excited about being a Campus Minister. Yeah!!!. But I don't want to wake up early!!! I'm looking forward in this school year.",3467867,65c19e5c8cb201d8efe696bf,,I agree,2,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"NO!!!!!!!!!!!Diana didn't win!!!!!!!!!!!(sob! )I have to admit that i am a Diana DeGarmo fan. Diana DeGarmo rocks!She is .Her is just great.I even named my neopet after her!(chuckle! ) This is DiAnA_dE_gArMo. I liked Diana when I saw her singing,'My Heart Will Go On' .",3486596,65c19e5c8cb201d8efe696bf,,I agree,2,2
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,"aw man! for a while there i thought i was actually going to have a relationship for real . after all those pseudo-relationships, i was beginning to warm up to the idea of stabilizing my commitment potential. well, it ended as swiftly as it began.",3468759,65c19e5c8cb201d8efe696bf,,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"Insomnia is a bitch. I woke up at approximately 3:00 am and now it's 5:00 am. The big question - Do I bother to try to go to sleep again when I have to get up in a couple of hours anyway?? My usual pattern is that I'll fall into my eventual slumber, say 45 minutes before I have to wake up. I don't know why, but that 45 minutes is a very restful sleep. It's like the sleep fairies are teasing me by giving me a little snippet of the sleep I'm missing only to pluck it away right from under me. Curses to them!",3463708,65c19e5c8cb201d8efe696bf,,I agree,2,3
